CU-001	IDENTIFICAR USUARIO
CU-002	SALIR DEL SISTEMA
CU-003	CREAR USUARIOS
CU-004	BORRAR USUARIO
CU-005	MODIFICAR USUARIOS
CU-006	LISTAR USUARIOS
CU-007	CREAR ASIGNATURAS
CU-008	ELIMINAR ASIGNATURAS
CU-009	MODIFICAR ASIGNATURAS
CU-010	LISTAR ASIGNATURAS
CU-011	CONSULTAR ASIGNATURA
CU-012	CAMBIAR DOCENTE DE UNA ASIGNATURA
CU-013	CONSULTAR RESPONSABLE DE UNA ASIGNATURA
CU-014	AGREGAR USUARIOS A ASIGNATURA
CU-015	ELIMINAR USUARIOS DE UN ASIGNATURA
CU-016	CONSULTAR USUARIOS DE UN ASIGNATURA
CU-017	CREAR TEMA
CU-018	ELIMINAR TEMA
CU-019	MODIFICAR TEMA
CU-020	LISTAR TEMA
CU-021	CONSULTAR TEMA
CU-022	PUBLICAR RECURSO
CU-023	ELIMINAR RECURSO
CU-024	MODIFICAR RECURSO
CU-025	LISTAR RECURSO
CU-026	CONSULTAR RECURSO
CU-027	INICIAR TUTORIA
CU-028	INICIAR CLASE
